Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,274.7799987792969,275.0,265.20001220703125,268.94000244140625,268.1326904296875,15106100
2021-01-05,268.2900085449219,272.3999938964844,268.2099914550781,270.9700012207031,270.1565856933594,9871600
2021-01-06,262.0,267.75,260.010009765625,263.30999755859375,262.51959228515625,24354100
2021-01-07,265.8999938964844,271.6099853515625,264.7799987792969,268.739990234375,267.9332580566406,15789800
2021-01-08,268.30999755859375,268.95001220703125,263.17999267578125,267.57000732421875,266.76678466796875,18528300
2021-01-11,260.4800109863281,263.4700012207031,255.89999389648438,256.8399963378906,256.0690002441406,30412300
2021-01-12,256.6300048828125,259.7200012207031,250.3000030517578,251.08999633789062,250.3362579345703,26383500
2021-01-13,251.5500030517578,253.9499969482422,249.1999969482422,251.63999938964844,250.88461303710938,19528900
2021-01-14,253.39999389648438,255.02999877929688,244.61000061035156,245.63999938964844,244.9026336669922,29739400
2021-01-15,247.89999389648438,253.86000061035156,247.16000366210938,251.36000061035156,250.60546875,24942900
2021-01-19,256.8999938964844,262.20001220703125,252.72000122070312,261.1000061035156,260.31622314453125,28028500
2021-01-20,268.92999267578125,270.32000732421875,263.6000061035156,267.4800109863281,266.6770935058594,25199900
2021-01-21,269.260009765625,273.6000061035156,267.489990234375,272.8699951171875,272.0508728027344,20838700
2021-01-22,272.010009765625,278.4700012207031,272.0,274.5,273.6759948730469,21954000
2021-01-25,278.1400146484375,280.1000061035156,271.510009765625,278.010009765625,277.1754455566406,19087000
2021-01-26,278.1400146484375,285.3900146484375,277.80999755859375,282.04998779296875,281.2033386230469,19373600
2021-01-27,282.5299987792969,283.45001220703125,268.1199951171875,272.1400146484375,271.3230895996094,35346200
2021-01-28,277.17999267578125,286.7900085449219,264.70001220703125,265.0,264.20452880859375,37758800
2021-01-29,265.29998779296875,266.55999755859375,254.85000610351562,258.3299865722656,257.5545349121094,30389500
2021-02-01,259.5199890136719,264.1700134277344,254.91000366210938,262.010009765625,261.2234802246094,22914300
2021-02-02,264.0,268.8500061035156,263.2699890136719,267.0799865722656,266.2782287597656,17320800
2021-02-03,265.6199951171875,269.20001220703125,263.8399963378906,266.6499938964844,265.8495178222656,14223400
2021-02-04,267.010009765625,268.1600036621094,264.0,266.489990234375,265.6900329589844,16060000
2021-02-05,266.79998779296875,269.1700134277344,265.6700134277344,268.1000061035156,267.2951965332031,12454400
2021-02-08,268.75,269.8599853515625,265.0,266.5799865722656,265.77978515625,13755200
2021-02-09,266.44000244140625,273.3900146484375,265.75,269.45001220703125,268.6411437988281,14613400
2021-02-10,272.45001220703125,273.79998779296875,267.7200012207031,271.8699951171875,271.05389404296875,14687200
2021-02-11,271.8900146484375,273.5799865722656,268.489990234375,270.3900146484375,269.578369140625,12828600
2021-02-12,270.5199890136719,271.17999267578125,268.3399963378906,270.5,269.68798828125,9097600
2021-02-16,270.79998779296875,276.6000061035156,270.04998779296875,273.9700012207031,273.1475524902344,15417200
2021-02-17,271.239990234375,273.9700012207031,269.5799865722656,273.57000732421875,272.748779296875,12763200
2021-02-18,269.57000732421875,271.95001220703125,266.0299987792969,269.3900146484375,268.5813293457031,15249100
2021-02-19,269.8599853515625,270.2699890136719,260.1499938964844,261.55999755859375,260.77484130859375,25622600
2021-02-22,257.95001220703125,263.07000732421875,257.5299987792969,260.3299865722656,259.54852294921875,17434900
2021-02-23,259.5,267.4599914550781,254.9600067138672,265.8599853515625,265.0619201660156,21924600
2021-02-24,262.3299865722656,266.3800048828125,258.3900146484375,264.30999755859375,263.51654052734375,15736100
2021-02-25,262.29998779296875,266.94000244140625,254.0399932861328,254.69000244140625,253.9254608154297,19053100
2021-02-26,256.4700012207031,265.54998779296875,256.4700012207031,257.6199951171875,256.8466796875,26619500
2021-03-01,260.82000732421875,266.6499938964844,257.8999938964844,264.9100036621094,264.11480712890625,22157300
2021-03-02,265.7799987792969,266.7099914550781,258.6499938964844,259.0,258.2225341796875,15191700
2021-03-03,260.2900085449219,260.989990234375,255.10000610351562,255.41000366210938,254.643310546875,15513500
2021-03-04,256.4700012207031,266.489990234375,253.5,257.6400146484375,256.8666076660156,31626500
2021-03-05,260.6700134277344,265.45001220703125,255.61000061035156,264.2799987792969,263.4866638183594,26820100
2021-03-08,265.54998779296875,265.5799865722656,255.0500030517578,255.30999755859375,254.54360961914062,18391800
2021-03-09,261.17999267578125,268.5299987792969,259.80999755859375,265.739990234375,264.9422912597656,22039700
